grade,week,unit,skill_focus,core_routine,downloadable,assessment
Pre-K,1,Unit 1: Listening routines,"Week 1 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,2,Unit 1: Listening routines,"Week 2 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,3,Unit 1: Listening routines,"Week 3 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,4,Unit 1: Listening routines,"Week 4 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,5,Unit 1: Listening routines,"Week 5 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,6,Unit 1: Listening routines,"Week 6 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,7,Unit 1: Listening routines,"Week 7 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,8,Unit 1: Listening routines,"Week 8 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,9,Unit 1: Listening routines,"Week 9 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,10,Unit 2: Rhyme and rhythm,Week 1 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,11,Unit 2: Rhyme and rhythm,Week 2 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,12,Unit 2: Rhyme and rhythm,Week 3 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,13,Unit 2: Rhyme and rhythm,Week 4 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,14,Unit 2: Rhyme and rhythm,Week 5 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,15,Unit 2: Rhyme and rhythm,Week 6 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,16,Unit 2: Rhyme and rhythm,Week 7 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,17,Unit 2: Rhyme and rhythm,Week 8 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,18,Unit 2: Rhyme and rhythm,Week 9 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,19,Unit 3: Syllables and words,Week 1 - count words in a sentence and syllables in names,"tap, jump, sort",name card practice,Friday mastery check; assign reteach if below 80%
Pre-K,20,Unit 3: Syllables and words,Week 2 - count words in a sentence and syllables in names,"tap, jump, sort",name card practice,Friday mastery check; assign reteach if below 80%
Pre-K,21,Unit 3: Syllables and words,Week 3 - count words in a sentence and syllables in names,"tap, jump, sort",name card practice,Friday mastery check; assign reteach if below 80%
Pre-K,22,Unit 3: Syllables and words,Week 4 - count words in a sentence and syllables in names,"tap, jump, sort",name card practice,Friday mastery check; assign reteach if below 80%
Pre-K,23,Unit 3: Syllables and words,Week 5 - count words in a sentence and syllables in names,"tap, jump, sort",name card practice,Friday mastery check; assign reteach if below 80%
Pre-K,24,Unit 3: Syllables and words,Week 6 - count words in a sentence and syllables in names,"tap, jump, sort",name card practice,Friday mastery check; assign reteach if below 80%
Pre-K,25,Unit 3: Syllables and words,Week 7 - count words in a sentence and syllables in names,"tap, jump, sort",name card practice,Friday mastery check; assign reteach if below 80%
Pre-K,26,Unit 3: Syllables and words,Week 8 - count words in a sentence and syllables in names,"tap, jump, sort",name card practice,Friday mastery check; assign reteach if below 80%
Pre-K,27,Unit 3: Syllables and words,Week 9 - count words in a sentence and syllables in names,"tap, jump, sort",name card practice,Friday mastery check; assign reteach if below 80%
Pre-K,28,Unit 4: Alphabet awareness,Week 1 - recognise letters in name and environment,"letter hunt, sort straight/curved",trace and build letters,Friday mastery check; assign reteach if below 80%
Pre-K,29,Unit 4: Alphabet awareness,Week 2 - recognise letters in name and environment,"letter hunt, sort straight/curved",trace and build letters,Friday mastery check; assign reteach if below 80%
Pre-K,30,Unit 4: Alphabet awareness,Week 3 - recognise letters in name and environment,"letter hunt, sort straight/curved",trace and build letters,Friday mastery check; assign reteach if below 80%
Pre-K,31,Unit 4: Alphabet awareness,Week 4 - recognise letters in name and environment,"letter hunt, sort straight/curved",trace and build letters,Friday mastery check; assign reteach if below 80%
Pre-K,32,Unit 4: Alphabet awareness,Week 5 - recognise letters in name and environment,"letter hunt, sort straight/curved",trace and build letters,Friday mastery check; assign reteach if below 80%
Pre-K,33,Unit 4: Alphabet awareness,Week 6 - recognise letters in name and environment,"letter hunt, sort straight/curved",trace and build letters,Friday mastery check; assign reteach if below 80%
Pre-K,34,Unit 4: Alphabet awareness,Week 7 - recognise letters in name and environment,"letter hunt, sort straight/curved",trace and build letters,Friday mastery check; assign reteach if below 80%
Pre-K,35,Unit 4: Alphabet awareness,Week 8 - recognise letters in name and environment,"letter hunt, sort straight/curved",trace and build letters,Friday mastery check; assign reteach if below 80%
Pre-K,36,Unit 4: Alphabet awareness,Week 9 - recognise letters in name and environment,"letter hunt, sort straight/curved",trace and build letters,Friday mastery check; assign reteach if below 80%
Kindergarten,1,Unit 1: Letters and sounds,Week 1 - learn common consonants and short vowels,"sound cards, blending, CVC words",sound-spelling sheet,Friday mastery check; assign reteach if below 80%
Kindergarten,2,Unit 1: Letters and sounds,Week 2 - learn common consonants and short vowels,"sound cards, blending, CVC words",sound-spelling sheet,Friday mastery check; assign reteach if below 80%
Kindergarten,3,Unit 1: Letters and sounds,Week 3 - learn common consonants and short vowels,"sound cards, blending, CVC words",sound-spelling sheet,Friday mastery check; assign reteach if below 80%
Kindergarten,4,Unit 1: Letters and sounds,Week 4 - learn common consonants and short vowels,"sound cards, blending, CVC words",sound-spelling sheet,Friday mastery check; assign reteach if below 80%
Kindergarten,5,Unit 1: Letters and sounds,Week 5 - learn common consonants and short vowels,"sound cards, blending, CVC words",sound-spelling sheet,Friday mastery check; assign reteach if below 80%
Kindergarten,6,Unit 1: Letters and sounds,Week 6 - learn common consonants and short vowels,"sound cards, blending, CVC words",sound-spelling sheet,Friday mastery check; assign reteach if below 80%
Kindergarten,7,Unit 1: Letters and sounds,Week 7 - learn common consonants and short vowels,"sound cards, blending, CVC words",sound-spelling sheet,Friday mastery check; assign reteach if below 80%
Kindergarten,8,Unit 1: Letters and sounds,Week 8 - learn common consonants and short vowels,"sound cards, blending, CVC words",sound-spelling sheet,Friday mastery check; assign reteach if below 80%
Kindergarten,9,Unit 1: Letters and sounds,Week 9 - learn common consonants and short vowels,"sound cards, blending, CVC words",sound-spelling sheet,Friday mastery check; assign reteach if below 80%
Kindergarten,10,Unit 2: CVC decoding,Week 1 - blend and segment short-vowel words,"word chains, dictation, decodable text",CVC fluency grid,Friday mastery check; assign reteach if below 80%
Kindergarten,11,Unit 2: CVC decoding,Week 2 - blend and segment short-vowel words,"word chains, dictation, decodable text",CVC fluency grid,Friday mastery check; assign reteach if below 80%
Kindergarten,12,Unit 2: CVC decoding,Week 3 - blend and segment short-vowel words,"word chains, dictation, decodable text",CVC fluency grid,Friday mastery check; assign reteach if below 80%
Kindergarten,13,Unit 2: CVC decoding,Week 4 - blend and segment short-vowel words,"word chains, dictation, decodable text",CVC fluency grid,Friday mastery check; assign reteach if below 80%
Kindergarten,14,Unit 2: CVC decoding,Week 5 - blend and segment short-vowel words,"word chains, dictation, decodable text",CVC fluency grid,Friday mastery check; assign reteach if below 80%
Kindergarten,15,Unit 2: CVC decoding,Week 6 - blend and segment short-vowel words,"word chains, dictation, decodable text",CVC fluency grid,Friday mastery check; assign reteach if below 80%
Kindergarten,16,Unit 2: CVC decoding,Week 7 - blend and segment short-vowel words,"word chains, dictation, decodable text",CVC fluency grid,Friday mastery check; assign reteach if below 80%
Kindergarten,17,Unit 2: CVC decoding,Week 8 - blend and segment short-vowel words,"word chains, dictation, decodable text",CVC fluency grid,Friday mastery check; assign reteach if below 80%
Kindergarten,18,Unit 2: CVC decoding,Week 9 - blend and segment short-vowel words,"word chains, dictation, decodable text",CVC fluency grid,Friday mastery check; assign reteach if below 80%
Kindergarten,19,Unit 3: Digraphs and high-frequency words,"Week 1 - read sh, ch, th, wh and irregular words","word sort, sentence reading",digraph mini-book,Friday mastery check; assign reteach if below 80%
Kindergarten,20,Unit 3: Digraphs and high-frequency words,"Week 2 - read sh, ch, th, wh and irregular words","word sort, sentence reading",digraph mini-book,Friday mastery check; assign reteach if below 80%
Kindergarten,21,Unit 3: Digraphs and high-frequency words,"Week 3 - read sh, ch, th, wh and irregular words","word sort, sentence reading",digraph mini-book,Friday mastery check; assign reteach if below 80%
Kindergarten,22,Unit 3: Digraphs and high-frequency words,"Week 4 - read sh, ch, th, wh and irregular words","word sort, sentence reading",digraph mini-book,Friday mastery check; assign reteach if below 80%
Kindergarten,23,Unit 3: Digraphs and high-frequency words,"Week 5 - read sh, ch, th, wh and irregular words","word sort, sentence reading",digraph mini-book,Friday mastery check; assign reteach if below 80%
Kindergarten,24,Unit 3: Digraphs and high-frequency words,"Week 6 - read sh, ch, th, wh and irregular words","word sort, sentence reading",digraph mini-book,Friday mastery check; assign reteach if below 80%
Kindergarten,25,Unit 3: Digraphs and high-frequency words,"Week 7 - read sh, ch, th, wh and irregular words","word sort, sentence reading",digraph mini-book,Friday mastery check; assign reteach if below 80%
Kindergarten,26,Unit 3: Digraphs and high-frequency words,"Week 8 - read sh, ch, th, wh and irregular words","word sort, sentence reading",digraph mini-book,Friday mastery check; assign reteach if below 80%
Kindergarten,27,Unit 3: Digraphs and high-frequency words,"Week 9 - read sh, ch, th, wh and irregular words","word sort, sentence reading",digraph mini-book,Friday mastery check; assign reteach if below 80%
Kindergarten,28,Unit 4: Sentence reading and writing,Week 1 - read decodable sentences and write simple sentences,"dictation, punctuation, picture writing",sentence frame,Friday mastery check; assign reteach if below 80%
Kindergarten,29,Unit 4: Sentence reading and writing,Week 2 - read decodable sentences and write simple sentences,"dictation, punctuation, picture writing",sentence frame,Friday mastery check; assign reteach if below 80%
Kindergarten,30,Unit 4: Sentence reading and writing,Week 3 - read decodable sentences and write simple sentences,"dictation, punctuation, picture writing",sentence frame,Friday mastery check; assign reteach if below 80%
Kindergarten,31,Unit 4: Sentence reading and writing,Week 4 - read decodable sentences and write simple sentences,"dictation, punctuation, picture writing",sentence frame,Friday mastery check; assign reteach if below 80%
Kindergarten,32,Unit 4: Sentence reading and writing,Week 5 - read decodable sentences and write simple sentences,"dictation, punctuation, picture writing",sentence frame,Friday mastery check; assign reteach if below 80%
Kindergarten,33,Unit 4: Sentence reading and writing,Week 6 - read decodable sentences and write simple sentences,"dictation, punctuation, picture writing",sentence frame,Friday mastery check; assign reteach if below 80%
Kindergarten,34,Unit 4: Sentence reading and writing,Week 7 - read decodable sentences and write simple sentences,"dictation, punctuation, picture writing",sentence frame,Friday mastery check; assign reteach if below 80%
Kindergarten,35,Unit 4: Sentence reading and writing,Week 8 - read decodable sentences and write simple sentences,"dictation, punctuation, picture writing",sentence frame,Friday mastery check; assign reteach if below 80%
Kindergarten,36,Unit 4: Sentence reading and writing,Week 9 - read decodable sentences and write simple sentences,"dictation, punctuation, picture writing",sentence frame,Friday mastery check; assign reteach if below 80%
Grade 1,1,"Unit 1: Short vowels, digraphs and blends","Week 1 - decode and spell CVC, CVCC, CCVC words","word chains, blending lines",decodable reader,Friday mastery check; assign reteach if below 80%
Grade 1,2,"Unit 1: Short vowels, digraphs and blends","Week 2 - decode and spell CVC, CVCC, CCVC words","word chains, blending lines",decodable reader,Friday mastery check; assign reteach if below 80%
Grade 1,3,"Unit 1: Short vowels, digraphs and blends","Week 3 - decode and spell CVC, CVCC, CCVC words","word chains, blending lines",decodable reader,Friday mastery check; assign reteach if below 80%
Grade 1,4,"Unit 1: Short vowels, digraphs and blends","Week 4 - decode and spell CVC, CVCC, CCVC words","word chains, blending lines",decodable reader,Friday mastery check; assign reteach if below 80%
Grade 1,5,"Unit 1: Short vowels, digraphs and blends","Week 5 - decode and spell CVC, CVCC, CCVC words","word chains, blending lines",decodable reader,Friday mastery check; assign reteach if below 80%
Grade 1,6,"Unit 1: Short vowels, digraphs and blends","Week 6 - decode and spell CVC, CVCC, CCVC words","word chains, blending lines",decodable reader,Friday mastery check; assign reteach if below 80%
Grade 1,7,"Unit 1: Short vowels, digraphs and blends","Week 7 - decode and spell CVC, CVCC, CCVC words","word chains, blending lines",decodable reader,Friday mastery check; assign reteach if below 80%
Grade 1,8,"Unit 1: Short vowels, digraphs and blends","Week 8 - decode and spell CVC, CVCC, CCVC words","word chains, blending lines",decodable reader,Friday mastery check; assign reteach if below 80%
Grade 1,9,"Unit 1: Short vowels, digraphs and blends","Week 9 - decode and spell CVC, CVCC, CCVC words","word chains, blending lines",decodable reader,Friday mastery check; assign reteach if below 80%
Grade 1,10,Unit 2: Long vowels with VCe,"Week 1 - decode and spell a_e, i_e, o_e, u_e","word comparison, dictation",long vowel sort,Friday mastery check; assign reteach if below 80%
Grade 1,11,Unit 2: Long vowels with VCe,"Week 2 - decode and spell a_e, i_e, o_e, u_e","word comparison, dictation",long vowel sort,Friday mastery check; assign reteach if below 80%
Grade 1,12,Unit 2: Long vowels with VCe,"Week 3 - decode and spell a_e, i_e, o_e, u_e","word comparison, dictation",long vowel sort,Friday mastery check; assign reteach if below 80%
Grade 1,13,Unit 2: Long vowels with VCe,"Week 4 - decode and spell a_e, i_e, o_e, u_e","word comparison, dictation",long vowel sort,Friday mastery check; assign reteach if below 80%
Grade 1,14,Unit 2: Long vowels with VCe,"Week 5 - decode and spell a_e, i_e, o_e, u_e","word comparison, dictation",long vowel sort,Friday mastery check; assign reteach if below 80%
Grade 1,15,Unit 2: Long vowels with VCe,"Week 6 - decode and spell a_e, i_e, o_e, u_e","word comparison, dictation",long vowel sort,Friday mastery check; assign reteach if below 80%
Grade 1,16,Unit 2: Long vowels with VCe,"Week 7 - decode and spell a_e, i_e, o_e, u_e","word comparison, dictation",long vowel sort,Friday mastery check; assign reteach if below 80%
Grade 1,17,Unit 2: Long vowels with VCe,"Week 8 - decode and spell a_e, i_e, o_e, u_e","word comparison, dictation",long vowel sort,Friday mastery check; assign reteach if below 80%
Grade 1,18,Unit 2: Long vowels with VCe,"Week 9 - decode and spell a_e, i_e, o_e, u_e","word comparison, dictation",long vowel sort,Friday mastery check; assign reteach if below 80%
Grade 1,19,Unit 3: Vowel teams and r-controlled,Week 1 - decode common vowel teams and ar/or/er/ir/ur,"mapping, fluency phrases",vowel team chart,Friday mastery check; assign reteach if below 80%
Grade 1,20,Unit 3: Vowel teams and r-controlled,Week 2 - decode common vowel teams and ar/or/er/ir/ur,"mapping, fluency phrases",vowel team chart,Friday mastery check; assign reteach if below 80%
